dataset,method,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,source_log
dblp,Random-HG,0.02,train_target,ratio,48,48,,48,0,,0.03944124897288414,0.011831402514173034,experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p02_seed0.json;experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p02_seed1.json;experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p02_seed2.json
dblp,Random-HG,0.05,train_target,ratio,122,122,,122,0,,0.10024650780608052,0.030071481390189794,experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p05_seed0.json;experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p05_seed1.json;experiments/logs/small_ratio_grid/dblp_Random_HG_total_condensed_nodes_r0p05_seed2.json
dblp,Random-HG,0.05,train_target,ratio,61,61,,61,0,,0.05012325390304026,0.015035740695094897,experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p05_seed0.json;experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p05_seed1.json;experiments/logs/small_ratio_grid/dblp_Random_HG_target_ratio_r0p05_seed2.json
dblp,Self-Only-MLP,0.005,train_target,ratio,16,16,0,16,0,0.01314708299096138,0.01314708299096138,0.003943800838057678,experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p005_seed0.json;experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p005_seed1.json;experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p005_seed2.json
dblp,Self-Only-MLP,0.01,train_target,ratio,16,16,0,16,0,0.01314708299096138,0.01314708299096138,0.003943800838057678,experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p01_seed0.json;experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p01_seed1.json;experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p01_seed2.json
dblp,Self-Only-MLP,0.02,train_target,ratio,24,24,0,24,0,0.01972062448644207,0.01972062448644207,0.005915701257086517,experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p02_seed0.json;experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p02_seed1.json;experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p02_seed2.json
dblp,Self-Only-MLP,0.05,train_target,ratio,61,61,0,61,0,0.05012325390304026,0.05012325390304026,0.015035740695094897,experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p05_seed0.json;experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p05_seed1.json;experiments/logs/small_ratio_grid/dblp_Self-Only-MLP_r0p05_seed2.json
dblp,Shadow-HGC-R-1,0.005,train_target,ratio,16,16,16,32,16,0.01314708299096138,0.02629416598192276,0.007887601676115356,experiments/logs/small_ratio_grid/dblp_r0p005_seed0.json;experiments/logs/small_ratio_grid/dblp_r0p005_seed1.json;experiments/logs/small_ratio_grid/dblp_r0p005_seed2.json
dblp,Shadow-HGC-R-1,0.01,train_target,ratio,16,16,16,32,16,0.01314708299096138,0.02629416598192276,0.007887601676115356,experiments/logs/small_ratio_grid/dblp_r0p01_seed0.json;experiments/logs/small_ratio_grid/dblp_r0p01_seed1.json;experiments/logs/small_ratio_grid/dblp_r0p01_seed2.json
dblp,Shadow-HGC-R-1,0.02,train_target,ratio,24,24,24,48,24,0.01972062448644207,0.03944124897288414,0.011831402514173034,experiments/logs/small_ratio_grid/dblp_r0p02_seed0.json;experiments/logs/small_ratio_grid/dblp_r0p02_seed1.json;experiments/logs/small_ratio_grid/dblp_r0p02_seed2.json
dblp,Shadow-HGC-R-1,0.05,train_target,ratio,61,61,61,122,61,0.05012325390304026,0.10024650780608052,0.030071481390189794,experiments/logs/small_ratio_grid/dblp_r0p05_seed0.json;experiments/logs/small_ratio_grid/dblp_r0p05_seed1.json;experiments/logs/small_ratio_grid/dblp_r0p05_seed2.json
imdb,Full-WRL-GNN,,,count,,,,,,,,,experiments/logs/small_ratio_grid/imdb_Full-WRL-GNN_seed0.json;experiments/logs/small_ratio_grid/imdb_Full-WRL-GNN_seed1.json;experiments/logs/small_ratio_grid/imdb_Full-WRL-GNN_seed2.json
imdb,Herding-HG,0.005,train_target,ratio,20,20,,20,0,,0.014587892049598834,0.0040551500405515,experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p005_seed0.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p005_seed1.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p005_seed2.json
imdb,Herding-HG,0.005,train_target,ratio,44,44,,44,0,,0.032093362509117436,0.008921330089213302,experiments/logs/small_ratio_grid/imdb_Herding_HG_total_condensed_nodes_r0p005_seed0.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_total_condensed_nodes_r0p005_seed1.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_total_condensed_nodes_r0p005_seed2.json
imdb,Herding-HG,0.01,train_target,ratio,20,20,,20,0,,0.014587892049598834,0.0040551500405515,experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p01_seed0.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p01_seed1.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p01_seed2.json
imdb,Herding-HG,0.01,train_target,ratio,44,44,,44,0,,0.032093362509117436,0.008921330089213302,experiments/logs/small_ratio_grid/imdb_Herding_HG_total_condensed_nodes_r0p01_seed0.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_total_condensed_nodes_r0p01_seed1.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_total_condensed_nodes_r0p01_seed2.json
imdb,Herding-HG,0.02,train_target,ratio,27,27,,27,0,,0.019693654266958426,0.005474452554744526,experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p02_seed0.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p02_seed1.json;experiments/logs/small_ratio_grid/imdb_Herding_HG_target_ratio_r0p02_seed2.json
