generated_at,git_commit,config_hash,run_id,dataset,method,M_tau_requested,M_tau_effective,M_r_resolved_summary,feature_dim,projection_type,loss_type,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,condensation_time_mean,training_time_mean,inference_time_mean,status
2026-06-07T13:28:52Z,92a00a6,6028297c3f1d937b,acm-K-Center-HG-seed0-6028297c,acm,K-Center-HG,12,12,,64,raw,,,0.567516,0.015787,,,0.000000,0.130371,0.000000,completed
2026-06-07T13:29:40Z,92a00a6,e58c065eccdf2f76,acm-K-Center-HG-seed0-e58c065e,acm,K-Center-HG,18,18,,64,raw,,,0.577274,0.010245,,,0.000000,0.135452,0.000000,completed
2026-06-07T13:30:30Z,92a00a6,e95146304682d446,acm-K-Center-HG-seed2-e9514630,acm,K-Center-HG,43,43,,64,raw,,,0.679887,0.000000,,,0.000000,0.140355,0.000000,completed
2026-06-07T13:30:08Z,92a00a6,ab59e07952b2db76,acm-K-Center-HG-seed0-ab59e079,acm,K-Center-HG,45,45,,64,raw,,,0.675166,0.005194,,,0.000000,0.136682,0.000000,completed
2026-06-07T13:28:52Z,92a00a6,3956393ae9c5f7ad,acm-K-Center-HG-seed0-3956393a,acm,K-Center-HG,52,52,,64,raw,,,0.683349,0.006557,,,0.000000,0.144265,0.000000,completed
2026-06-07T13:29:41Z,92a00a6,835b975d3142c143,acm-K-Center-HG-seed0-835b975d,acm,K-Center-HG,58,58,,64,raw,,,0.685867,0.002479,,,0.000000,0.152949,0.000000,completed
2026-06-07T13:30:31Z,92a00a6,db58d40605109faf,acm-Random-HG-seed2-db58d406,acm,Random-HG,110,110,,64,raw,,,0.742210,0.000000,,,0.000000,0.162450,0.000000,completed
2026-06-07T13:30:09Z,92a00a6,feb939f529c8c36e,acm-Random-HG-seed0-feb939f5,acm,Random-HG,114,114,,64,raw,,,0.765108,0.021483,,,0.000000,0.162364,0.000000,completed
2026-06-07T13:28:51Z,92a00a6,d1501799830e4a62,acm-Random-HG-seed0-d1501799,acm,Random-HG,12,12,,64,raw,,,0.579792,0.019248,,,0.000000,0.134160,0.000000,completed
2026-06-07T13:29:40Z,92a00a6,df82b9a5d2543905,acm-Random-HG-seed0-df82b9a5,acm,Random-HG,18,18,,64,raw,,,0.622757,0.022359,,,0.000000,0.134338,0.000000,completed
2026-06-07T13:30:30Z,92a00a6,7e802c48d93e21eb,acm-Random-HG-seed2-7e802c48,acm,Random-HG,43,43,,64,raw,,,0.654391,0.000000,,,0.000000,0.139103,0.000000,completed
2026-06-07T13:30:08Z,92a00a6,f430b261c7905926,acm-Random-HG-seed0-f430b261,acm,Random-HG,45,45,,64,raw,,,0.702549,0.010859,,,0.000000,0.141386,0.000000,completed
2026-06-07T13:28:52Z,92a00a6,e7333e3bdc831eb6,acm-Random-HG-seed0-e7333e3b,acm,Random-HG,52,52,,64,raw,,,0.699874,0.029705,,,0.000000,0.141961,0.000000,completed
2026-06-07T13:29:41Z,92a00a6,53cfaa79dcce3318,acm-Random-HG-seed0-53cfaa79,acm,Random-HG,58,58,,64,raw,,,0.716399,0.028725,,,0.000000,0.142979,0.000000,completed
2026-06-07T13:28:51Z,92a00a6,9723fa8143314020,acm-Self-Only-MLP-seed0-9723fa81,acm,Self-Only-MLP,12,12,paper--cite_ref-->paper=8;paper--cited_by-->paper=8;author--writes-->paper=8;subject--subject_of-->paper=8;term--term_in-->paper=8,64,raw,clipped,relation_mlp,0.784230,0.012569,0.781637,0.014355,1.382252,2.798605,0.038237,completed
2026-06-07T13:29:40Z,92a00a6,2d6a107ea17d5417,acm-Self-Only-MLP-seed0-2d6a107e,acm,Self-Only-MLP,18,18,paper--cite_ref-->paper=8;paper--cited_by-->paper=8;author--writes-->paper=8;subject--subject_of-->paper=8;term--term_in-->paper=8,64,raw,clipped,relation_mlp,0.788480,0.047423,0.783207,0.054362,1.645888,2.837502,0.037785,completed
2026-06-07T13:30:08Z,92a00a6,a974760f07b9cf73,acm-Self-Only-MLP-seed0-a974760f,acm,Self-Only-MLP,45,45,paper--cite_ref-->paper=12;paper--cited_by-->paper=12;author--writes-->paper=15;subject--subject_of-->paper=15;term--term_in-->paper=15,64,raw,clipped,relation_mlp,0.761568,0.002345,0.759893,0.003697,2.477099,3.247708,0.037983,completed
2026-06-07T13:28:46Z,92a00a6,da50fd5103a9d22a,acm-Shadow-HGC-R-1-seed0-da50fd51,acm,Shadow-HGC-R-1,12,12,paper--cite_ref-->paper=8;paper--cited_by-->paper=8;author--writes-->paper=8;subject--subject_of-->paper=8;term--term_in-->paper=8,64,raw,clipped,relation_linear,0.601353,0.137437,0.568022,0.156505,2.361654,0.532331,0.010322,completed
2026-06-07T13:29:35Z,92a00a6,d2f99ca6981655c2,acm-Shadow-HGC-R-1-seed0-d2f99ca6,acm,Shadow-HGC-R-1,18,18,paper--cite_ref-->paper=8;paper--cited_by-->paper=8;author--writes-->paper=8;subject--subject_of-->paper=8;term--term_in-->paper=8,64,raw,clipped,relation_linear,0.630941,0.076505,0.586062,0.071256,2.116683,0.536612,0.009933,completed
2026-06-07T13:30:02Z,92a00a6,f675ec5e31ec26fd,acm-Shadow-HGC-R-1-seed0-f675ec5e,acm,Shadow-HGC-R-1,45,45,paper--cite_ref-->paper=12;paper--cited_by-->paper=12;author--writes-->paper=15;subject--subject_of-->paper=15;term--term_in-->paper=15,64,raw,clipped,relation_linear,0.767233,0.103260,0.748997,0.132814,2.894038,0.563915,0.009961,completed
2026-06-07T13:31:04Z,92a00a6,05b90774b5352a04,dblp-Full-WRL-GNN-seedna-05b90774,dblp,Full-WRL-GNN,,,,64,raw,clipped,relation_linear,0.810681,0.001418,0.802076,0.001466,0.000000,31.097853,0.000000,completed
2026-06-07T13:34:03Z,92a00a6,c694205c7ab018cb,dblp-Herding-HG-seed0-c694205c,dblp,Herding-HG,122,122,,64,raw,,,0.603756,0.003829,,,0.000000,0.169681,0.000000,completed
2026-06-07T13:32:19Z,92a00a6,2338ec8d0210da84,dblp-Herding-HG-seed0-2338ec8d,dblp,Herding-HG,16,16,,64,raw,,,0.395422,0.015431,,,0.000000,0.148820,0.000000,completed
2026-06-07T13:33:23Z,92a00a6,4b2df54659a44186,dblp-Herding-HG-seed0-4b2df546,dblp,Herding-HG,24,24,,64,raw,,,0.484742,0.004865,,,0.000000,0.176544,0.000000,completed
2026-06-07T13:32:20Z,92a00a6,fd379853aee5e3fd,dblp-Herding-HG-seed0-fd379853,dblp,Herding-HG,32,32,,64,raw,,,0.505634,0.004235,,,0.000000,0.161209,0.000000,completed
2026-06-07T13:33:27Z,92a00a6,630d9f9dc332139d,dblp-Herding-HG-seed0-630d9f9d,dblp,Herding-HG,48,48,,64,raw,,,0.492371,0.006392,,,0.000000,0.164144,0.000000,completed
2026-06-07T13:33:59Z,92a00a6,fddcb15015e17b4d,dblp-Herding-HG-seed0-fddcb150,dblp,Herding-HG,61,61,,64,raw,,,0.587911,0.001583,,,0.000000,0.150479,0.000000,completed
2026-06-07T13:34:03Z,92a00a6,181b7791d061b0df,dblp-K-Center-HG-seed0-181b7791,dblp,K-Center-HG,122,122,,64,raw,,,0.689084,0.016635,,,0.000000,0.168783,0.000000,completed
2026-06-07T13:32:20Z,92a00a6,c5d97b1cd78ebe0e,dblp-K-Center-HG-seed0-c5d97b1c,dblp,K-Center-HG,16,16,,64,raw,,,0.518192,0.003924,,,0.000000,0.147211,0.000000,completed
2026-06-07T13:33:26Z,92a00a6,c6ab2f8c232ed2c5,dblp-K-Center-HG-seed0-c6ab2f8c,dblp,K-Center-HG,24,24,,64,raw,,,0.554695,0.004363,,,0.000000,1.064707,0.000000,completed
2026-06-07T13:32:20Z,92a00a6,f5d92102428cc39f,dblp-K-Center-HG-seed0-f5d92102,dblp,K-Center-HG,32,32,,64,raw,,,0.586972,0.010290,,,0.000000,0.623968,0.000000,completed
2026-06-07T13:33:27Z,92a00a6,f6c0019b90f6b49d,dblp-K-Center-HG-seed0-f6c0019b,dblp,K-Center-HG,48,48,,64,raw,,,0.629343,0.013596,,,0.000000,0.170685,0.000000,completed
2026-06-07T13:33:59Z,92a00a6,3435e0dca223389f,dblp-K-Center-HG-seed0-3435e0dc,dblp,K-Center-HG,61,61,,64,raw,,,0.653521,0.017509,,,0.000000,0.150820,0.000000,completed
2026-06-07T13:34:03Z,92a00a6,cc540b775ca07a73,dblp-Random-HG-seed0-cc540b77,dblp,Random-HG,122,122,,64,raw,,,0.603756,0.015488,,,0.000000,1.324299,0.000000,completed
2026-06-07T13:32:19Z,92a00a6,08981898a8c1fbba,dblp-Random-HG-seed0-08981898,dblp,Random-HG,16,16,,64,raw,,,0.471362,0.027114,,,0.000000,0.160285,0.000000,completed
2026-06-07T13:33:22Z,92a00a6,271be6c8a9b53744,dblp-Random-HG-seed0-271be6c8,dblp,Random-HG,24,24,,64,raw,,,0.513380,0.030910,,,0.000000,1.246104,0.000000,completed
