dataset,variant,loss_type,seed,ratio,accuracy,macro_f1,predicted_class_count,prediction_entropy,shadow_recon_err_by_relation,effective_rank_by_relation,M_r_by_relation,b_by_relation,relation_gate_values,condensed_nodes_total,condensed_edges_total,status,source_log
imdb,metapath,class_balanced,42,0.025,0.3554028868675232,0.3066864937543869,5,1.5260133597993848,"{""actor--acts_in-->movie"": 0.9890690040588741, ""director--directs-->movie"": 1.0050674962931696, ""keyword--keyword_in-->movie"": 0.9710839394334917}","{""actor--acts_in-->movie"": 25.93387222290039, ""director--directs-->movie"": 26.987058639526367, ""keyword--keyword_in-->movie"": 22.62639808654785}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_metapath_class_balanced_r0p025_seed42.json
imdb,rank_adaptive,clipped,42,0.025,0.37507808208465576,0.356929224729538,5,1.559385274911206,"{""actor--acts_in-->movie"": 0.009953978704463726, ""director--directs-->movie"": 0.0006892273771646883, ""keyword--keyword_in-->movie"": 0.013564266878651138}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 68, ""director--directs-->movie"": 68, ""keyword--keyword_in-->movie"": 68}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",238,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_rank_adaptive_clipped_r0p025_seed42.json
imdb,rank_adaptive,sqrt_weighted,42,0.025,0.32417237758636475,0.32046372890472413,5,1.5578833536019727,"{""actor--acts_in-->movie"": 0.009953978704463726, ""director--directs-->movie"": 0.0006892273771646883, ""keyword--keyword_in-->movie"": 0.013564266878651138}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 68, ""director--directs-->movie"": 68, ""keyword--keyword_in-->movie"": 68}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",238,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_rank_adaptive_sqrt_weighted_r0p025_seed42.json
imdb,rank_adaptive,class_balanced,42,0.025,0.3516552150249481,0.3370460093021393,5,1.5858873386890955,"{""actor--acts_in-->movie"": 0.009953978704463726, ""director--directs-->movie"": 0.0006892273771646883, ""keyword--keyword_in-->movie"": 0.013564266878651138}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 68, ""director--directs-->movie"": 68, ""keyword--keyword_in-->movie"": 68}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",238,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_rank_adaptive_class_balanced_r0p025_seed42.json
imdb,adaptive_b,clipped,42,0.025,0.3366645872592926,0.28842914998531344,5,1.457636693108508,"{""actor--acts_in-->movie"": 0.8798933930351477, ""director--directs-->movie"": 0.8257151984711026, ""keyword--keyword_in-->movie"": 0.8291221983565281}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 4, ""director--directs-->movie"": 4, ""keyword--keyword_in-->movie"": 4}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,199,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_adaptive_b_clipped_r0p025_seed42.json
imdb,adaptive_b,sqrt_weighted,42,0.025,0.31542786955833435,0.2770701885223389,5,1.5316589215730456,"{""actor--acts_in-->movie"": 0.8798933930351477, ""director--directs-->movie"": 0.8257151984711026, ""keyword--keyword_in-->movie"": 0.8291221983565281}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 4, ""director--directs-->movie"": 4, ""keyword--keyword_in-->movie"": 4}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,199,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_adaptive_b_sqrt_weighted_r0p025_seed42.json
imdb,adaptive_b,class_balanced,42,0.025,0.34634602069854736,0.2977138668298721,5,1.4868175087703563,"{""actor--acts_in-->movie"": 0.8798933930351477, ""director--directs-->movie"": 0.8257151984711026, ""keyword--keyword_in-->movie"": 0.8291221983565281}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 4, ""director--directs-->movie"": 4, ""keyword--keyword_in-->movie"": 4}","{""actor--acts_in-->movie"": 1.0, ""director--directs-->movie"": 1.0, ""keyword--keyword_in-->movie"": 1.0}",70,199,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_adaptive_b_class_balanced_r0p025_seed42.json
imdb,relation_gate,clipped,42,0.025,0.3310430943965912,0.2869583576917648,5,1.5000787828246154,"{""actor--acts_in-->movie"": 0.9915553138235607, ""director--directs-->movie"": 0.9894704692960229, ""keyword--keyword_in-->movie"": 0.9216682006580831}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 3.4753198623657227, ""director--directs-->movie"": 3.086693286895752, ""keyword--keyword_in-->movie"": 0.41672810912132263}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_relation_gate_clipped_r0p025_seed42.json
imdb,relation_gate,sqrt_weighted,42,0.025,0.32916927337646484,0.2846021294593811,5,1.5030031480671366,"{""actor--acts_in-->movie"": 0.9915553138235607, ""director--directs-->movie"": 0.9894704692960229, ""keyword--keyword_in-->movie"": 0.9216682006580831}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 3.2595372200012207, ""director--directs-->movie"": 2.883049726486206, ""keyword--keyword_in-->movie"": 0.4221263825893402}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_relation_gate_sqrt_weighted_r0p025_seed42.json
imdb,relation_gate,class_balanced,42,0.025,0.3538413345813751,0.30999569594860077,5,1.5152103645860917,"{""actor--acts_in-->movie"": 0.9915553138235607, ""director--directs-->movie"": 0.9894704692960229, ""keyword--keyword_in-->movie"": 0.9216682006580831}","{""actor--acts_in-->movie"": 23.645305633544922, ""director--directs-->movie"": 24.611297607421875, ""keyword--keyword_in-->movie"": 20.76017951965332}","{""actor--acts_in-->movie"": 12, ""director--directs-->movie"": 12, ""keyword--keyword_in-->movie"": 12}","{""actor--acts_in-->movie"": 1, ""director--directs-->movie"": 1, ""keyword--keyword_in-->movie"": 1}","{""actor--acts_in-->movie"": 3.5868618488311768, ""director--directs-->movie"": 3.4737610816955566, ""keyword--keyword_in-->movie"": 0.39328962564468384}",70,102,completed,experiments\logs\imdb_rescue_rplus_seed42\imdb_relation_gate_class_balanced_r0p025_seed42.json
