dataset,method,feature_dim,projection_type,loss_type,model,accuracy_std,macro_f1_std,status,accuracy,macro_f1,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,prototype_train_acc,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,M_requested,M_effective,num_train_target_nodes,num_train_classes,min_proto_per_class,baseline_match_mode,baseline_budget,shadow_condensed_nodes_total,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,predicted_classes,condense_s,train_s,infer_s,peak_cpu_ram_gb,peak_gpu_ram_gb,source_log
ogbn-products,K-Center-HG,128,random,,,0.000000,,completed,0.161344,,,,,,0.005,train_target,ratio,965,965,965,965,,,,target_ratio,965,1449,,965,0,,0.0049080690689927015,0.0003940337170364255,,0.000000,0.220271,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_K_Center_HG_target_ratio_r0p005_seed0.json
ogbn-products,K-Center-HG,128,random,,,0.000000,,completed,0.177375,,,,,,0.01,train_target,ratio,1948,1948,1948,1948,,,,target_ratio,1948,2922,,1948,0,,0.009907687612847443,0.0007954172857895925,,0.000000,0.303682,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_K_Center_HG_target_ratio_r0p01_seed0.json
ogbn-products,Random-HG,128,random,,,0.000000,,completed,0.205133,,,,,,0.001,train_target,ratio,179,179,179,179,,,,target_ratio,179,269,,179,0,,0.0009104086666836202,7.309019207204161e-05,,0.000000,0.227095,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_Random_HG_target_ratio_r0p001_seed0.json
ogbn-products,Random-HG,128,random,,,0.000000,,completed,0.271659,,,,,,0.0025,train_target,ratio,474,474,474,474,,,,target_ratio,474,712,,474,0,,0.0024108028380337206,0.00019354609520752918,,0.000000,0.230357,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_Random_HG_target_ratio_r0p0025_seed0.json
ogbn-products,Random-HG,128,random,,,0.000000,,completed,0.320668,,,,,,0.005,train_target,ratio,965,965,965,965,,,,target_ratio,965,1449,,965,0,,0.0049080690689927015,0.0003940337170364255,,0.000000,0.222558,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_Random_HG_target_ratio_r0p005_seed0.json
ogbn-products,Random-HG,128,random,,,0.000000,,completed,0.364079,,,,,,0.01,train_target,ratio,1948,1948,1948,1948,,,,target_ratio,1948,2922,,1948,0,,0.009907687612847443,0.0007954172857895925,,0.000000,0.354852,0.000000,,,experiments/logs/medium_ratio_grid/ogbn-products_Random_HG_target_ratio_r0p01_seed0.json
ogbn-products,Self-Only-MLP,128,random,sqrt_weighted,relation_mlp,0.000000,0.000000,completed,0.242572,0.070686,,,,0.832402,0.001,train_target,ratio,197,179,197,179,196615,42,4,,,,0,179,0,0.0009104086666836202,0.0009104086666836202,7.309019207204161e-05,42,39.587340,0.562309,5.390747,14.750245,0.000000,experiments/logs/medium_ratio_grid/ogbn-products_Self-Only-MLP_r0p001.json
ogbn-products,Self-Only-MLP,128,random,sqrt_weighted,relation_mlp,0.000000,0.000000,completed,0.319240,0.100878,,,,0.919831,0.0025,train_target,ratio,492,474,492,474,196615,42,4,,,,0,474,0,0.0024108028380337206,0.0024108028380337206,0.00019354609520752918,42,49.353393,0.957712,2.721840,12.010082,0.000000,experiments/logs/medium_ratio_grid/ogbn-products_Self-Only-MLP_r0p0025.json
ogbn-products,Self-Only-MLP,128,random,sqrt_weighted,relation_mlp,0.000000,0.000000,completed,0.354353,0.117617,,,,0.921244,0.005,train_target,ratio,983,965,983,965,196615,42,4,,,,0,965,0,0.0049080690689927015,0.0049080690689927015,0.0003940337170364255,42,43.102838,1.222364,2.471834,22.236320,0.000000,experiments/logs/medium_ratio_grid/ogbn-products_Self-Only-MLP_r0p005.json
ogbn-products,Self-Only-MLP,128,random,sqrt_weighted,relation_mlp,0.000000,0.000000,completed,0.400986,0.139453,,,,0.957392,0.01,train_target,ratio,1966,1948,1966,1948,196615,42,4,,,,0,1948,0,0.009907687612847443,0.009907687612847443,0.0007954172857895925,42,79.618904,3.416990,2.805943,12.002017,0.000000,experiments/logs/medium_ratio_grid/ogbn-products_Self-Only-MLP_r0p01.json
ogbn-products,Shadow-HGC-R-1,128,random,sqrt_weighted,relation_linear,0.000000,0.000000,completed,0.404852,0.180029,0.761022,0.779846,0.465549,1.000000,0.001,train_target,ratio,197,179,197,179,196615,42,4,,,,90,269,1750,0.0009104086666836202,0.0013681560409938205,0.00010983945065574969,42,27.047593,0.530251,54.881532,2.892726,0.000000,experiments/logs/medium_ratio_grid/ogbn-products_r0p001.json
ogbn-products,Shadow-HGC-R-1,128,random,sqrt_weighted,relation_linear,0.000000,0.000000,completed,0.408520,0.178773,0.661556,0.737030,0.457468,0.997890,0.0025,train_target,ratio,492,474,492,474,196615,42,4,,,,238,712,4708,0.0024108028380337206,0.0036212903389873613,0.00029072746790666834,41,32.184937,0.720101,58.951352,21.921530,0.000000,experiments/logs/medium_ratio_grid/ogbn-products_r0p0025.json
ogbn-products,Shadow-HGC-R-1,128,random,sqrt_weighted,relation_linear,0.000000,0.000000,completed,0.419678,0.183089,0.604527,0.756422,0.440597,0.996891,0.005,train_target,ratio,983,965,983,965,196615,42,4,,,,484,1449,9608,0.0049080690689927015,0.007369732726394222,0.0005916630631977,41,41.257257,4.520554,70.663991,15.509053,0.000000,experiments/logs/medium_ratio_grid/ogbn-products_r0p005.json
ogbn-products,Shadow-HGC-R-1,128,random,sqrt_weighted,relation_linear,0.000000,0.000000,completed,0.417144,0.185177,0.561275,0.774357,0.427875,0.960472,0.01,train_target,ratio,1966,1948,1966,1948,196615,42,4,,,,974,2922,19392,0.009907687612847443,0.014861531419271164,0.001193125928684389,41,63.850531,1.634628,70.974464,24.310743,0.000000,experiments/logs/medium_ratio_grid/ogbn-products_r0p01.json
ogbn-products,Shadow-HGC-R-1,128,random,clipped,relation_linear,0.000000,0.000000,completed,0.428099,0.182072,0.761022,0.779846,0.465549,0.815642,0.001,train_target,ratio,197,179,197,179,196615,42,4,,,,90,269,1750,0.0009104086666836202,0.0013681560409938205,0.00010983945065574969,35,27.929678,0.580882,50.197585,4.534632,0.000000,experiments/logs/medium_ratio_clipped_compare/ogbn-products_r0p001.json
ogbn-products,Shadow-HGC-R-1,128,random,clipped,relation_linear,0.000000,0.000000,completed,0.423715,0.184567,0.661556,0.737030,0.457468,0.915612,0.0025,train_target,ratio,492,474,492,474,196615,42,4,,,,238,712,4708,0.0024108028380337206,0.0036212903389873613,0.00029072746790666834,34,39.097301,0.768366,73.142306,24.732574,0.000000,experiments/logs/medium_ratio_clipped_compare/ogbn-products_r0p0025.json
ogbn-products,Shadow-HGC-R-1,128,random,clipped,relation_linear,0.000000,0.000000,completed,0.436069,0.188419,0.604527,0.756422,0.440597,0.940933,0.005,train_target,ratio,983,965,983,965,196615,42,4,,,,484,1449,9608,0.0049080690689927015,0.007369732726394222,0.0005916630631977,33,67.811624,4.465538,77.983491,1.773208,0.000000,experiments/logs/medium_ratio_clipped_compare/ogbn-products_r0p005.json
