dataset,base_variant,mode,space,alpha,steps,temperature,correct_alpha,correct_steps,beta,valid_acc_before,valid_acc_after,test_acc_before,test_acc_after,macro_f1_before,macro_f1_after,predicted_class_count_before,predicted_class_count_after,full_edge_execution,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason
acm,B3_scap_v2,smooth_prob,probabilities,0.1,8,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.1,8,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.1,8,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.2,1,1.0,,,,0.9285714030265808,0.8681318759918213,0.8956562876701355,0.8602455258369446,0.8962585926055908,0.8621404767036438,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.2,1,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.2,1,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8975448608398438,0.8962585926055908,0.8982049425443014,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.2,1,4.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8989613056182861,0.8962585926055908,0.8996047774950663,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_logits,logits,0.2,2,1.0,,,,0.9285714030265808,0.7857142686843872,0.8956562876701355,0.8149197101593018,0.8962585926055908,0.818926215171814,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.2,2,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.2,2,2.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8966005444526672,0.8962585926055908,0.8972322344779968,3,3,True,False,False,False,blocked,validation_no_improvement
acm,B3_scap_v2,smooth_prob,probabilities,0.2,2,4.0,,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8984891176223755,0.8962585926055908,0.8991213838259379,3,3,True,False,False,False,promoted,validation_and_test_gate_passed
acm,B3_scap_v2,smooth_logits,logits,0.2,4,1.0,,,,0.9285714030265808,0.7417582273483276,0.8956562876701355,0.7672332525253296,0.8962585926055908,0.771702249844869,3,3,True,False,False,False,blocked,"validation_no_improvement,test_regression"
acm,B3_scap_v2,smooth_prob,probabilities,0.2,4,1.0,,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,3,3,True,False,False,False,blocked,validation_no_improvement
