dataset,ratio,variant,seed,status,accuracy,macro_f1,weighted_f1,predicted_class_count,prediction_entropy,condensed_nodes_total,condensed_edges_total,total_condensed_node_ratio,byte_size_compression,compiled_head,label_affinity,boundary_prototypes,loss_type,train_time_s,inference_time_s,lad_precompute_time_s,peak_cpu_ram_mb,peak_gpu_ram_mb,reason,source_log
dblp,0.065,V3_compiled_lad_boundary,42,completed,0.4542253613471985,0.46802834421396255,0.47612359889556927,4,1.1618214657519805,183,79,0.007003980404164115,0.007627617791957381,True,True,True,,1.5002543000000017,0.019322299999998904,0.004048499999996125,14025908224,0,,experiments\logs\lad_stage_small_seed42\dblp_V3_compiled_lad_boundary_r0p065_seed42.json
imdb,0.005,V0_current_best,42,completed,0.3338538408279419,0.32561702132225034,0.33802472686678614,5,1.5710138651864045,127,60,0.005929038281979458,0.005841200213934383,False,False,False,,1.2460398000000055,0.11084739999999726,0.0,14027980800,0,,experiments\logs\lad_stage_small_seed42\imdb_V0_current_best_r0p005_seed42.json
imdb,0.005,V1_compiled_demand_head,42,completed,0.38226109743118286,0.35412907004356386,0.39898407273195874,5,1.5390331802850337,127,60,0.005929038281979458,0.005841200213934383,True,False,False,,1.7468107999999916,0.05826720000000307,0.00017660000000319087,14087319552,0,,experiments\logs\lad_stage_small_seed42\imdb_V1_compiled_demand_head_r0p005_seed42.json
imdb,0.005,V2_compiled_plus_lad,42,completed,0.4200499653816223,0.3552080750465393,0.4026302459328018,5,1.2915558585768243,127,60,0.005929038281979458,0.005841200213934383,True,True,False,,2.1125061999999986,0.05543389999999704,0.008943599999994944,14086389760,0,,experiments\logs\lad_stage_small_seed42\imdb_V2_compiled_plus_lad_r0p005_seed42.json
imdb,0.005,V3_compiled_lad_boundary,42,completed,0.35227981209754944,0.34780630469322205,0.36996607979064905,5,1.5763410859874238,133,60,0.006209150326797385,0.006118277917099044,True,True,True,,2.124848799999995,0.056549799999999095,0.00790999999999542,14112538624,0,,experiments\logs\lad_stage_small_seed42\imdb_V3_compiled_lad_boundary_r0p005_seed42.json
imdb,0.025,V0_current_best,42,completed,0.40755778551101685,0.38423375487327577,0.410433679678235,5,1.557641150275583,237,102,0.011064425770308124,0.010913636673584838,False,False,False,,1.4101392999999973,0.1098573000000016,0.0,14105645056,0,,experiments\logs\lad_stage_small_seed42\imdb_V0_current_best_r0p025_seed42.json
imdb,0.025,V1_compiled_demand_head,42,completed,0.37070581316947937,0.32857092916965486,0.37833495837188463,5,1.4870711668641894,237,102,0.011064425770308124,0.010913636673584838,True,False,False,,2.052888600000003,0.05577610000000277,0.00017019999999945412,14106861568,0,,experiments\logs\lad_stage_small_seed42\imdb_V1_compiled_demand_head_r0p025_seed42.json
imdb,0.025,V2_compiled_plus_lad,42,completed,0.3878825604915619,0.3607961118221283,0.4044207331070562,5,1.577822466309382,237,102,0.011064425770308124,0.010913636673584838,True,True,False,,2.536391000000009,0.061158700000007116,0.00982580000000155,14113566720,0,,experiments\logs\lad_stage_small_seed42\imdb_V2_compiled_plus_lad_r0p025_seed42.json
imdb,0.025,V3_compiled_lad_boundary,42,completed,0.3819487690925598,0.34811302423477175,0.39479949955955285,5,1.5435312649814765,238,102,0.011111111111111112,0.010958491630764464,True,True,True,,2.5316607999999974,0.05675649999999166,0.009479200000001242,14107713536,0,,experiments\logs\lad_stage_small_seed42\imdb_V3_compiled_lad_boundary_r0p025_seed42.json
imdb,0.05,V0_current_best,42,completed,0.3351030647754669,0.3297014355659485,0.34261327925872276,5,1.586306036274097,483,207,0.022549019607843137,0.022239291838904354,False,False,False,,1.65737630000001,0.11008600000000968,0.0,14101483520,0,,experiments\logs\lad_stage_small_seed42\imdb_V0_current_best_r0p05_seed42.json
imdb,0.05,V1_compiled_demand_head,42,completed,0.38881948590278625,0.3627117872238159,0.39204162400402887,5,1.5201612589683924,483,207,0.022549019607843137,0.022239291838904354,True,False,False,,2.993435000000005,0.056226300000005835,0.00012119999999526954,14115999744,0,,experiments\logs\lad_stage_small_seed42\imdb_V1_compiled_demand_head_r0p05_seed42.json
imdb,0.05,V2_compiled_plus_lad,42,completed,0.3791380524635315,0.3548907995223999,0.3807781954585317,5,1.5501774800677697,483,207,0.022549019607843137,0.022239291838904354,True,True,False,,3.4504816999999974,0.061525099999997224,0.009079400000004512,14115667968,0,,experiments\logs\lad_stage_small_seed42\imdb_V2_compiled_plus_lad_r0p05_seed42.json
imdb,0.05,V3_compiled_lad_boundary,42,completed,0.36445972323417664,0.33975748121738436,0.3843255998740666,5,1.5317544966194516,483,207,0.022549019607843137,0.022239291838904354,True,True,True,,3.2927006999999833,0.06152249999999526,0.008402499999988322,14117961728,0,,experiments\logs\lad_stage_small_seed42\imdb_V3_compiled_lad_boundary_r0p05_seed42.json
