dataset,method,feature_dim,projection_type,loss_type,model,accuracy_std,macro_f1_std,status,accuracy,macro_f1,skeleton_coverage_mean,residual_energy_mean,shadow_recon_err_mean,prototype_train_acc,ratio,ratio_base,budget_mode,requested_target_budget,effective_target_prototypes,M_requested,M_effective,num_train_target_nodes,num_train_classes,min_proto_per_class,baseline_match_mode,baseline_budget,shadow_condensed_nodes_total,shadow_nodes_total,condensed_nodes_total,condensed_edges_total,effective_target_ratio,condensed_node_ratio_to_train_target,condensed_node_ratio_to_all_task_nodes,predicted_classes,condense_s,train_s,infer_s,peak_cpu_ram_gb,peak_gpu_ram_gb,source_log
acm,Self-Only-MLP,64,raw,clipped,relation_mlp,0.012569,0.014355,completed,0.784230,0.781637,,,,1.000000,0.01,train_target,ratio,12,12,12,12,907,3,4,,,,0,12,0,0.013230429988974642,0.013230429988974642,0.003966942148760331,3,1.370961,2.767923,0.037421,23.403221,0.000000,experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p01_seed2.json
acm,Self-Only-MLP,64,raw,clipped,relation_mlp,0.047423,0.054362,completed,0.788480,0.783207,,,,1.000000,0.02,train_target,ratio,18,18,18,18,907,3,4,,,,0,18,0,0.019845644983461964,0.019845644983461964,0.0059504132231404955,3,1.645888,2.837502,0.037785,23.404720,0.000000,experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p02_seed2.json
acm,Self-Only-MLP,64,raw,clipped,relation_mlp,0.002345,0.003697,completed,0.761568,0.759893,,,,1.000000,0.05,train_target,ratio,45,45,45,45,907,3,4,,,,0,45,0,0.04961411245865491,0.04961411245865491,0.01487603305785124,3,2.477099,3.247708,0.037983,23.406952,0.000000,experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p05_seed1.json;experiments/logs/small_ratio_grid/acm_Self-Only-MLP_r0p05_seed2.json
acm,Shadow-HGC-R-1,64,raw,clipped,relation_linear,0.137437,0.156505,completed,0.601353,0.568022,0.353897,1.000000,0.285568,1.000000,0.005,train_target,ratio,12,12,12,12,907,3,4,,,,40,52,100,0.013230429988974642,0.05733186328555678,0.0171900826446281,3,2.929100,0.533426,0.010541,22.032142,0.000000,experiments/logs/small_ratio_grid/acm_r0p005_seed0.json;experiments/logs/small_ratio_grid/acm_r0p005_seed1.json;experiments/logs/small_ratio_grid/acm_r0p005_seed2.json
acm,Shadow-HGC-R-1,64,raw,clipped,relation_linear,0.137437,0.156505,completed,0.601353,0.568022,0.353897,1.000000,0.285568,1.000000,0.01,train_target,ratio,12,12,12,12,907,3,4,,,,40,52,100,0.013230429988974642,0.05733186328555678,0.0171900826446281,3,1.794209,0.531236,0.010103,23.414092,0.000000,experiments/logs/small_ratio_grid/acm_r0p01_seed0.json;experiments/logs/small_ratio_grid/acm_r0p01_seed1.json;experiments/logs/small_ratio_grid/acm_r0p01_seed2.json
acm,Shadow-HGC-R-1,64,raw,clipped,relation_linear,0.076505,0.071256,completed,0.630941,0.586062,0.366224,1.000000,0.315281,1.000000,0.02,train_target,ratio,18,18,18,18,907,3,4,,,,40,58,147,0.019845644983461964,0.0639470782800441,0.019173553719008266,3,2.116683,0.536612,0.009933,23.425061,0.000000,experiments/logs/small_ratio_grid/acm_r0p02_seed0.json;experiments/logs/small_ratio_grid/acm_r0p02_seed1.json;experiments/logs/small_ratio_grid/acm_r0p02_seed2.json
acm,Shadow-HGC-R-1,64,raw,clipped,relation_linear,0.103260,0.132814,completed,0.767233,0.748997,0.351546,0.999999,0.407564,1.000000,0.05,train_target,ratio,45,45,45,45,907,3,4,,,,69,114,341,0.04961411245865491,0.1256890848952591,0.03768595041322314,3,2.894038,0.563915,0.009961,23.427060,0.000000,experiments/logs/small_ratio_grid/acm_r0p05_seed0.json;experiments/logs/small_ratio_grid/acm_r0p05_seed1.json;experiments/logs/small_ratio_grid/acm_r0p05_seed2.json
dblp,Full-WRL-GNN,64,raw,clipped,relation_linear,0.001418,0.001466,completed,0.810681,0.802076,,,,,,,count,,,,,,4,,,,,,,,,,,4,,31.097853,,,,experiments/logs/small_ratio_grid/dblp_Full-WRL-GNN_seed0.json;experiments/logs/small_ratio_grid/dblp_Full-WRL-GNN_seed1.json;experiments/logs/small_ratio_grid/dblp_Full-WRL-GNN_seed2.json
dblp,Herding-HG,64,raw,,,0.015431,,completed,0.395422,,,,,,0.005,train_target,ratio,16,16,16,16,,,,target_ratio,16,32,,16,0,,0.01314708299096138,0.003943800838057678,,0.000000,0.150932,0.000000,,,experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p005_seed0.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p005_seed1.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p005_seed2.json
dblp,Herding-HG,64,raw,,,0.004235,,completed,0.505634,,,,,,0.005,train_target,ratio,32,32,32,32,,,,total_condensed_nodes,32,32,,32,0,,0.02629416598192276,0.007887601676115356,,0.000000,0.151919,0.000000,,,experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p005_seed0.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p005_seed1.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p005_seed2.json
dblp,Herding-HG,64,raw,,,0.015431,,completed,0.395422,,,,,,0.01,train_target,ratio,16,16,16,16,,,,target_ratio,16,32,,16,0,,0.01314708299096138,0.003943800838057678,,0.000000,0.146709,0.000000,,,experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p01_seed0.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p01_seed1.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p01_seed2.json
dblp,Herding-HG,64,raw,,,0.004235,,completed,0.505634,,,,,,0.01,train_target,ratio,32,32,32,32,,,,total_condensed_nodes,32,32,,32,0,,0.02629416598192276,0.007887601676115356,,0.000000,0.170498,0.000000,,,experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p01_seed0.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p01_seed1.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p01_seed2.json
dblp,Herding-HG,64,raw,,,0.004865,,completed,0.484742,,,,,,0.02,train_target,ratio,24,24,24,24,,,,target_ratio,24,48,,24,0,,0.01972062448644207,0.005915701257086517,,0.000000,0.176544,0.000000,,,experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p02_seed0.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p02_seed1.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_target_ratio_r0p02_seed2.json
dblp,Herding-HG,64,raw,,,0.006392,,completed,0.492371,,,,,,0.02,train_target,ratio,48,48,48,48,,,,total_condensed_nodes,48,48,,48,0,,0.03944124897288414,0.011831402514173034,,0.000000,0.164144,0.000000,,,experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p02_seed0.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p02_seed1.json;experiments/logs/small_ratio_grid/dblp_Herding_HG_total_condensed_nodes_r0p02_seed2.json
